                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.4484,                 3.0036,                 2.6221,                0.94672,                0.95443,                0.66667,                0.73606,                0.33693,                0.74043,                    0.5,                 0.6632,                0.32047,                 2.3147,                 1.7046,                 2.2167,                 1.0133,              0.0019089,              0.0019089,              0.0019089
                     25,                 2.5646,                 3.1227,                 2.3417,                 1.0226,                 0.7808,                0.66667,                0.72594,                0.25657,                 0.7808,                0.66667,                0.77148,                0.19209,                 2.5754,                 1.9934,                 2.5264,                 1.0324,               0.001905,               0.001905,               0.001905
                     26,                 2.6459,                 2.8574,                 2.4098,                 1.0104,                0.71466,                0.66667,                 0.7085,                0.16893,                0.53466,                    0.5,                0.50206,                0.09475,                 2.5115,                 1.7528,                 1.5639,                   1.03,               0.001901,               0.001901,               0.001901
                     27,                 2.6303,                 2.4962,                 2.4942,                0.97571,                0.94896,                    0.5,                0.68681,                 0.2504,                0.73619,                0.47238,                0.66634,                 0.1397,                 2.2096,                 1.7819,                 1.4011,                0.99748,               0.001897,               0.001897,               0.001897
                     28,                 2.7457,                 3.0257,                 2.2944,                 1.0296,                      1,                  0.638,                0.66539,                 0.1946,                      1,                  0.638,                 0.7611,                0.22352,                 2.5861,                 1.7576,                 1.3979,                   1.06,              0.0018931,              0.0018931,              0.0018931
                     29,                 2.5507,                 2.7595,                 2.0504,                0.97873,                0.69383,                0.83333,                  0.855,                0.32667,                      1,                0.63982,                0.82802,                0.34172,                 2.2722,                  1.491,                 1.4254,                 1.0363,              0.0018891,              0.0018891,              0.0018891
                     30,                 2.6513,                 2.6054,                 2.0081,                 1.0181,                0.81149,                0.83333,                0.82024,                0.31499,                0.32306,                0.56041,                 0.3335,                0.10924,                 2.1391,                 1.7738,                  1.587,                 1.1056,              0.0018852,              0.0018852,              0.0018852
                     31,                 2.6619,                  2.857,                 2.0827,                0.99323,                0.89471,                0.83333,                0.83524,                 0.2558,                0.49801,                0.66202,                 0.4577,                0.14836,                 2.2286,                 2.2187,                 1.5489,                 1.0197,              0.0018812,              0.0018812,              0.0018812
                     32,                 2.5336,                 2.7601,                   1.93,                0.97724,                0.78853,                0.62843,                0.59943,                0.17338,                0.64151,                0.83333,                0.78043,                0.22647,                 2.7853,                 1.8434,                 1.7164,                 1.1275,              0.0018772,              0.0018772,              0.0018772
                     33,                 2.3801,                 2.4719,                 1.9181,                0.98473,                0.63173,                0.83333,                0.72067,                0.24168,                0.65561,                0.95576,                 0.8271,                0.33854,                 2.3663,                 1.5503,                 1.3294,                 1.0607,              0.0018733,              0.0018733,              0.0018733
                     34,                 2.5505,                 2.5421,                 1.8348,                0.98622,                0.79354,                0.64512,                 0.6843,                0.23645,                0.97468,                0.66667,                0.73614,                0.23795,                 2.4076,                 1.8472,                 1.2882,                 1.0359,              0.0018693,              0.0018693,              0.0018693
                     35,                  2.461,                  2.725,                 1.7175,                 0.9793,                 0.8225,                    0.5,                0.66216,                 0.3018,                 0.8225,                    0.5,                0.61065,                0.21078,                  2.424,                 1.9874,                 1.3942,                 1.0558,              0.0018654,              0.0018654,              0.0018654
                     36,                 2.5081,                 2.6766,                 1.7548,                 0.9884,                 0.6968,                0.83333,                 0.8737,                0.38233,                0.84066,                      1,                0.97214,                0.36807,                 2.1313,                 2.0296,                 1.3695,                 0.9908,              0.0018614,              0.0018614,              0.0018614
                     37,                 2.4647,                 2.6895,                 1.8237,                0.95106,                0.82044,                0.83333,                0.87524,                0.33907,                0.82044,                0.83333,                0.84767,                0.34901,                 2.3347,                 1.7881,                 1.3354,                0.98926,              0.0018574,              0.0018574,              0.0018574
                     38,                 2.4594,                 3.0713,                 1.6582,                0.98479,                 0.7091,                0.81518,                0.69959,                0.22601,                0.64984,                0.66667,                0.55223,                 0.3067,                 2.4553,                 1.6471,                 1.4163,                 1.0423,              0.0018535,              0.0018535,              0.0018535
                     39,                 2.3144,                 2.3981,                 1.5896,                0.96917,                0.61704,                0.80856,                0.67024,                0.22335,                0.69853,                0.83333,                0.66943,                0.21456,                 2.3958,                  1.771,                 1.4201,                 1.0583,              0.0018495,              0.0018495,              0.0018495
                     40,                 2.3265,                 2.6129,                  1.661,                0.94861,                 0.6896,                0.83333,                 0.8931,                0.38321,                0.97356,                0.83333,                0.97214,                0.44354,                 2.1531,                 1.5623,                 1.2757,                  1.032,              0.0018456,              0.0018456,              0.0018456
                     41,                 2.4596,                 2.4586,                 1.5947,                0.97765,                0.83121,                0.83333,                 0.8137,                0.36109,                0.84695,                0.92865,                0.94786,                 0.3859,                 2.1465,                 1.5668,                 1.1581,                 1.0237,              0.0018416,              0.0018416,              0.0018416
                     42,                 2.4483,                 2.7241,                 1.7147,                0.93863,                      1,                0.80765,                0.83767,                0.36791,                      1,                0.98382,                  0.995,                0.25327,                 2.1593,                 1.8655,                 1.2099,                 1.0176,              0.0018376,              0.0018376,              0.0018376
                     43,                 2.3662,                 2.3278,                 1.5476,                 0.9158,                 0.9467,                0.66667,                0.81843,                   0.41,                0.61191,                0.83333,                0.58767,                0.26791,                 2.1084,                 1.8249,                 1.2747,                 1.0025,              0.0018337,              0.0018337,              0.0018337
                     44,                 2.4657,                 2.6586,                 1.5916,                 1.0038,                0.98422,                0.66667,                0.77554,                0.35073,                  0.467,                0.73433,                0.53729,                0.16659,                 2.2673,                 1.6193,                 1.2763,                 1.0264,              0.0018297,              0.0018297,              0.0018297
                     45,                 2.3363,                 2.4776,                   1.56,                0.95018,                0.90637,                0.66667,                0.80984,                0.20787,                0.90637,                0.66667,                0.72001,                0.17794,                 2.9367,                 2.0964,                  1.763,                 1.0893,              0.0018258,              0.0018258,              0.0018258
                     46,                 2.4655,                  2.622,                 1.5093,                0.96381,                0.74871,                0.66667,                0.67554,                0.20664,                0.74871,                0.66667,                0.70744,                0.22589,                 2.5054,                 1.5889,                 1.3443,                  1.035,              0.0018218,              0.0018218,              0.0018218
                     47,                 2.4154,                 2.5372,                 1.5326,                0.94656,                 0.6897,                0.83333,                0.69243,                0.13991,                 0.6897,                0.83333,                 0.7737,                0.31229,                 2.6505,                 1.4227,                 1.3127,                 1.0648,              0.0018178,              0.0018178,              0.0018178
                     48,                 2.3601,                 2.6745,                 1.4071,                0.93061,                0.81973,                0.83333,                0.84767,                0.19185,                0.81973,                0.83333,                0.72645,                 0.2025,                 2.5723,                 1.2986,                 1.3791,                  1.051,              0.0018139,              0.0018139,              0.0018139
                     49,                 2.2159,                 2.1997,                 1.2727,                0.94983,                 0.8122,                0.83333,                0.85719,                0.19435,                0.97802,                      1,                  0.995,                0.21498,                 2.7085,                 1.6297,                  1.568,                 1.0611,              0.0018099,              0.0018099,              0.0018099
